aa_ocompra;n_ocompra;aa_devengado;t_devengado;n_devengado;c_numcred;c_juris;c_sjuris;c_entidad;c_programa;c_inciso;c_pprincipal;c_pparcial;c_psparcial;c_ubica_geo;i_devengado;e_devengado
2021;65643;2022;DRP;6109;53292;70;0;0;1;3;3;5;0;4;26874,96;A
2021;65639;2022;DRP;7189;53292;70;0;0;1;3;3;5;0;4;1395947,06;A
2021;65641;2022;DRP;11792;53293;70;0;0;1;3;3;5;0;4;562907,06;A
2021;65644;2022;DRP;11975;53293;70;0;0;1;3;3;5;0;4;333513,4;A
2021;65639;2022;DRP;11953;53293;70;0;0;1;3;3;5;0;4;7113449,31;A
2021;65639;2022;DRP;11099;53293;70;0;0;1;3;3;5;0;4;4157182,87;A
2021;65639;2022;DRP;6479;53293;70;0;0;1;3;3;5;0;4;1929764,26;A
2021;65638;2022;DRP;12550;53296;70;0;0;25;3;3;5;0;14;1390523,19;A
2021;65639;2023;DRP;2873;61186;70;0;0;57;3;3;5;0;9;1022608,6;X
2021;65639;2022;DRP;7189;61186;70;0;0;57;3;3;5;0;9;6306418,89;A
2021;65639;2022;DRP;7189;61189;70;0;0;7;3;3;5;0;8;93960,07;A
2021;65639;2022;DRP;8571;53911;70;0;0;48;3;3;5;0;1;72558,95;A
2021;65639;2022;DRP;5912;53911;70;0;0;48;3;3;5;0;1;28034,17;A
2021;65639;2022;DRP;6647;53911;70;0;0;48;3;3;5;0;1;37232,92;A
2021;65644;2022;DRP;6645;53912;70;0;0;1;3;3;5;0;3;3985718,04;A
2021;65641;2022;DRP;10732;53913;70;0;0;1;3;3;5;0;4;709569,45;A
2021;65644;2022;DRP;7829;53913;70;0;0;1;3;3;5;0;4;185325,43;A
2021;65641;2022;DRP;6154;53913;70;0;0;1;3;3;5;0;4;479429,18;A
2021;65641;2022;DRP;5452;53913;70;0;0;1;3;3;5;0;4;239714,59;A
2021;65644;2022;DRP;6216;53913;70;0;0;1;3;3;5;0;4;1219591,23;A
2021;65640;2022;DRP;6772;53914;70;0;0;1;3;3;5;0;7;1323363,55;A
2021;65638;2022;DRP;6153;53915;70;0;0;1;3;3;5;0;14;536318,02;A
2021;65638;2022;DRP;4900;53915;70;0;0;1;3;3;5;0;14;159958,59;A
2021;65645;2022;DRP;10138;53917;70;0;0;1;3;3;5;0;1;181433,38;A
2021;65645;2022;DRP;9910;53917;70;0;0;1;3;3;5;0;1;237637,17;A
2021;65645;2022;DRP;7488;53917;70;0;0;1;3;3;5;0;1;102220,99;A
2021;65641;2022;DRP;10732;53918;70;0;0;1;3;3;5;0;4;68250,72;A
2021;65641;2022;DRP;8543;53918;70;0;0;1;3;3;5;0;4;38486,84;A
2021;65640;2022;DRP;13679;53919;70;0;0;1;3;3;5;0;7;165244,26;A
2021;65640;2022;DRP;11759;53919;70;0;0;1;3;3;5;0;7;513025,85;A
2021;65640;2022;DRP;10730;53919;70;0;0;1;3;3;5;0;7;331980,55;A
2021;65639;2022;DRP;7189;53920;70;0;0;1;3;3;5;0;8;1212962,38;A
2021;65639;2023;DRP;5043;53921;70;0;0;1;3;3;5;0;9;21965,64;X
2021;65639;2022;DRP;6647;53921;70;0;0;1;3;3;5;0;9;11106,03;A
2021;65643;2022;DRP;4876;53922;70;0;0;1;3;3;5;0;14;27332,9;A
2021;65644;2022;DRP;6216;53924;70;0;0;198;3;3;5;0;4;276936,56;A
2021;65638;2022;DRP;10815;50843;70;0;0;1;3;3;5;0;12;124635,08;A
2021;65638;2022;DRP;9719;50843;70;0;0;1;3;3;5;0;12;124635,08;A
2021;65644;2022;DRP;10729;50941;70;0;0;26;3;3;5;0;1;282899,33;A
2021;65639;2022;DRP;8571;50941;70;0;0;26;3;3;5;0;1;970755,36;A
2021;65644;2022;DRP;6763;50941;70;0;0;26;3;3;5;0;1;135153,1;A
2021;65642;2022;DRP;11086;50943;70;0;0;26;3;3;5;0;12;35061,83;A
2021;65642;2022;DRP;7246;50944;70;0;0;26;3;3;5;0;13;136200,27;A
2021;65640;2022;DRP;9723;50948;70;0;0;2;3;3;5;0;6;18890,29;A
2021;65642;2022;DRP;4839;50949;70;0;0;2;3;3;5;0;13;9083,06;A
2021;65644;2022;DRP;6763;50960;70;0;0;65;3;3;5;0;4;20313,29;A
2021;65644;2022;DRP;6645;50960;70;0;0;65;3;3;5;0;4;19699,46;A
2021;65638;2022;DRP;9719;50961;70;0;0;65;3;3;5;0;14;12031,16;A
2021;65638;2022;DRP;7276;50961;70;0;0;65;3;3;5;0;14;7207,79;A
2021;65638;2022;DRP;6153;50961;70;0;0;65;3;3;5;0;14;14415,58;A
2021;65639;2022;DRP;9498;55143;70;0;0;3;3;3;5;0;9;4800,03;A
2021;65639;2022;DRP;8408;55143;70;0;0;3;3;3;5;0;9;3404,79;A
