t_ocompra;aa_ocompra;n_ocompra;aa_precepcion;t_precepcion;n_precepcion;o_ente;c_unid_ejec;fh_autorizacion;fh_alta;aa_ocompra_orig;t_ocompra_orig;n_ocompra_orig;e_formulario
OCC;2023;79257;2023;PRD;417593;120202;;2023-11-07 00:00:00;2023-11-07 11:12:52;2021;OCA;65641;A
OCC;2023;63840;2023;PRD;292429;311990;;2023-08-28 00:00:00;2023-08-28 13:09:58;2021;OCA;65644;A
OCC;2023;79381;2023;PRD;419241;120202;;2023-11-07 00:00:00;2023-11-07 15:13:37;2021;OCA;65641;A
OCC;2024;54418;2024;PRD;392055;26205;;2024-11-05 00:00:00;2024-11-05 16:42:26;2023;OCA;76134;A
OCC;2023;66034;2023;PRD;314041;120202;;2023-09-06 00:00:00;2023-09-05 17:09:15;2021;OCA;65641;A
OCC;2024;69071;2024;PRD;469104;32879;;2025-02-13 00:00:00;2025-02-13 16:00:44;2023;OCA;76141;A
OCC;2024;69078;2024;PRD;469087;32879;;2025-02-13 00:00:00;2025-02-13 15:02:48;2023;OCA;76135;A
OCC;2024;69079;2024;PRD;469099;32879;;2025-02-13 00:00:00;2025-02-13 15:52:28;2023;OCA;76135;A
OCC;2024;69086;2024;PRD;469103;26205;;2025-02-13 00:00:00;2025-02-13 16:00:07;2023;OCA;76134;A
OCC;2024;69091;2024;PRD;469118;26205;;2025-02-13 00:00:00;2025-02-13 16:52:31;2023;OCA;76134;A
OCC;2024;65072;2024;PRD;460874;83261;;2025-01-13 00:00:00;2025-01-13 11:21:50;2023;OCA;76141;A
OCC;2024;68496;2024;PRD;468025;26296;;2025-01-31 00:00:00;2025-01-31 22:14:02;2021;OCA;65640;A
OCC;2024;66587;2024;PRD;464215;32321;;;2025-01-17 15:17:51;2021;OCA;65639;P
OCC;2024;67361;2024;PRD;465996;73551;;2025-01-24 00:00:00;2025-01-24 14:31:40;2023;OCA;76141;A
OCC;2024;67371;2024;PRD;466012;73551;;2025-01-24 00:00:00;2025-01-24 14:44:37;2023;OCA;76141;A
OCC;2024;68044;2024;PRD;467173;120202;;2025-01-29 00:00:00;2025-01-29 16:06:45;2021;OCA;65641;A
OCC;2024;68980;2024;PRD;468891;32321;;;2025-02-10 20:13:53;2021;OCA;65639;X
OCC;2024;69153;2024;PRD;469179;73551;;2025-02-14 00:00:00;2025-02-14 15:44:03;2023;OCA;76134;A
OCC;2024;65708;2024;PRD;462057;32118;;2025-01-14 00:00:00;2025-01-14 16:38:03;2023;OCA;76137;A
OCC;2024;68483;2024;PRD;468017;94546;;2025-01-31 00:00:00;2025-01-31 21:20:04;2021;OCA;65642;A
OCC;2024;68484;2024;PRD;468019;94546;;2025-01-31 00:00:00;2025-01-31 21:24:23;2021;OCA;65642;A
OCC;2024;67295;2024;PRD;465900;73551;;2025-01-24 00:00:00;2025-01-24 11:35:14;2023;OCA;76141;A
OCC;2024;68504;2024;PRD;468159;32118;;2025-02-03 00:00:00;2025-02-03 11:39:38;2021;OCA;65638;A
OCC;2024;68508;2024;PRD;468130;32118;;2025-02-03 00:00:00;2025-02-03 10:26:44;2021;OCA;65638;A
OCC;2024;64471;2024;PRD;459253;311990;;2025-01-08 00:00:00;2025-01-08 16:54:17;2021;OCA;65644;A
OCC;2024;66585;2024;PRD;463994;83261;;2025-01-17 00:00:00;2025-01-17 12:29:37;2023;OCA;76141;A
OCC;2024;66609;2024;PRD;464042;94546;;2025-01-17 00:00:00;2025-01-17 13:04:08;2023;OCA;76134;A
OCC;2023;55316;2023;PRD;247145;94546;;2023-07-21 00:00:00;2023-07-20 15:10:07;2021;OCA;65642;A
OCC;2023;54812;2023;PRD;253994;32879;;2023-07-26 00:00:00;2023-07-26 15:01:38;2021;OCC;32595;A
OCC;2023;54819;2023;PRD;254028;32879;;2023-07-26 00:00:00;2023-07-26 15:07:45;2021;OCC;32595;A
