aa_oca_original;n_oca_original;aa_precepcion;t_precepcion;n_precepcion;c_numcred;c_juris;c_sjuris;c_entidad;c_inciso;c_pprincipal;c_pparcial;c_ubica_geo;i_total;e_formulario
2020;36823;2020;PRD;367688;66576;55;0;0;3;3;5;1;6822361,34;A
2020;36825;2020;PRD;366406;66576;55;0;0;3;3;5;1;7422132;A
2020;37067;2020;PRD;368924;36335;20;23;0;3;3;1;14;1835027,42;A
2021;65645;2023;PRD;309239;15176;45;0;0;3;3;5;1;2254456,84;A
2021;65645;2023;PRD;309239;34802;26;26;0;3;3;5;1;6860926,08;A
2021;65644;2023;PRD;309759;10538;40;0;0;3;3;5;8;81169,6;A
2021;65644;2023;PRD;309759;15176;45;0;0;3;3;5;1;292608,7;A
2021;65644;2023;PRD;309759;16560;50;0;0;3;3;5;1;1300285,83;A
2021;65644;2023;PRD;262042;2767;21;0;0;3;3;5;1;754624,96;A
2021;65644;2023;PRD;262042;15178;45;0;0;3;3;5;3;78720,62;A
2021;65644;2023;PRD;262042;16746;50;0;0;3;3;5;4;3516220,24;A
2021;65644;2023;PRD;262042;27123;70;0;0;3;3;5;3;1197572,38;A
2021;65644;2023;PRD;309759;24216;55;0;0;3;3;5;4;1278415,8;A
2021;65644;2023;PRD;309759;29871;20;24;0;3;3;5;4;285857;A
2021;65644;2023;PRD;309759;37858;20;22;510;3;3;5;4;22881,87;A
2021;65644;2023;PRD;262042;29871;20;24;0;3;3;5;4;285857;A
2021;65644;2023;PRD;262042;38391;60;0;602;3;3;5;3;574138,88;A
2021;65644;2023;PRD;262042;39460;20;23;934;3;3;5;4;6407,8;A
2020;21781;2021;PRD;151330;15657;45;0;0;3;3;1;8;198188,24;A
2022;53374;2023;PRD;411135;25949;70;0;0;3;3;1;3;716558,4;A
2022;53374;2023;PRD;442029;25949;70;0;0;3;3;1;3;1499532,83;A
2022;53374;2023;PRD;442059;25949;70;0;0;3;3;1;3;1865047,14;A
2021;32662;2023;PRD;448347;34573;26;26;0;3;3;3;4;8411422,3;A
2022;53374;2023;PRD;398482;25949;70;0;0;3;3;1;3;4191774,98;A
2022;37659;2023;PRD;259866;8112;35;0;0;3;3;5;4;2537632,4;A
2022;53374;2023;PRD;284758;25949;70;0;0;3;3;1;3;1867625,99;A
2022;53374;2023;PRD;284794;25949;70;0;0;3;3;1;3;2760160,43;A
2021;65639;2023;PRD;263531;5834;26;0;0;3;3;5;4;33947,29;A
2021;65639;2023;PRD;263531;6134;28;0;0;3;3;5;4;61461,16;A
2021;65639;2023;PRD;263531;13774;40;0;0;3;3;5;9;76793,7;A
2021;65639;2023;PRD;263531;16560;50;0;0;3;3;5;1;480673,79;A
2021;65639;2023;PRD;263531;29871;20;24;0;3;3;5;4;14190448,38;A
2021;65639;2023;PRD;263531;45170;70;71;0;3;3;5;8;8767005,76;A
2021;65639;2023;PRD;311717;2767;21;0;0;3;3;5;1;1718653,14;A
2021;65639;2023;PRD;311717;16560;50;0;0;3;3;5;1;480673,79;A
2021;65639;2023;PRD;311717;16566;50;0;0;3;3;5;11;219,89;A
2021;65639;2023;PRD;311717;17443;50;0;0;3;3;5;4;64393,4;A
2021;65639;2023;PRD;311717;54884;21;0;0;3;3;5;3;15780,6;A
2014;56571;2016;PRD;136762;10324;30;0;0;3;3;5;1;2003;A
2014;56571;2016;PRD;136777;10324;30;0;0;3;3;5;1;2003;A
2014;56571;2016;PRD;136802;10324;30;0;0;3;3;5;1;2003;A
2014;56571;2016;PRD;136825;10324;30;0;0;3;3;5;1;2003;A
2014;56571;2016;PRD;136859;10324;30;0;0;3;3;5;1;2003;A
2014;56571;2016;PRD;136881;10324;30;0;0;3;3;5;1;2003;A
2021;37210;2023;PRD;389333;45000;55;0;0;3;3;5;1;11554818;A
2022;37659;2023;PRD;426647;8112;35;0;0;3;3;5;4;3143801,04;A
2022;53374;2023;PRD;445727;25949;70;0;0;3;3;1;3;692673,12;A
2021;37275;2023;PRD;404457;45000;55;0;0;3;3;5;1;8293352,82;A
2021;65640;2023;PRD;395727;13760;40;0;0;3;3;5;7;25416,4;A
2021;65640;2023;PRD;395727;13773;40;0;0;3;3;5;7;119900,99;A
2021;65641;2023;PRD;395740;2715;21;0;0;3;3;5;4;1207260,25;A
2021;65641;2023;PRD;395740;24216;55;0;0;3;3;5;4;6108199,8;A
2021;65641;2023;PRD;395740;27124;70;0;0;3;3;5;4;3636010,8;A
2021;65643;2023;PRD;396154;13765;40;0;0;3;3;5;15;159279,6;A
2021;65641;2023;PRD;433884;10534;40;0;0;3;3;5;4;7012722,99;A
2021;65643;2023;PRD;396154;28140;20;27;210;3;3;5;15;550303,28;A
2021;65638;2023;PRD;437404;7268;35;0;0;3;3;5;14;1194791,82;A
2021;65638;2023;PRD;437404;15177;45;0;0;3;3;5;2;1272616,3;A
2021;65638;2023;PRD;437404;28139;20;27;210;3;3;5;14;770074,95;A
2021;65638;2023;PRD;437404;52078;70;0;0;3;3;5;1;1545313,2;A
2021;32565;2023;PRD;427965;34561;26;26;0;3;3;1;4;1110675,16;A
2021;65641;2023;PRD;433884;27293;70;0;0;3;3;5;4;1159074,38;A
2021;65641;2023;PRD;433884;54884;21;0;0;3;3;5;3;217966,16;A
2022;33509;2023;PRD;419843;46025;45;0;0;3;3;1;1;8252449,71;A
2022;53374;2023;PRD;397151;25949;70;0;0;3;3;1;3;3037367,52;A
2019;52184;2021;PRD;94636;24507;55;0;0;3;3;5;1;3180000;A
2019;20213;2019;PRD;176913;43891;55;0;0;3;3;5;1;1067600;A
2021;37265;2021;PRD;318541;44302;55;0;0;3;3;5;1;4559491,4;A
2019;43545;2021;PRD;341600;5927;21;0;0;3;3;5;15;964566,65;A
2019;43545;2021;PRD;152698;5927;21;0;0;3;3;5;15;795698,32;A
2014;56571;2016;PRD;70640;10324;30;0;0;3;3;5;1;2003;A
2014;56571;2016;PRD;70658;10324;30;0;0;3;3;5;1;2003;A
2014;56571;2016;PRD;70662;10324;30;0;0;3;3;5;1;2003;A
2020;26832;2021;PRD;310264;18543;50;0;0;3;3;1;2;256400;A
2020;37067;2021;PRD;332200;42771;20;23;0;3;3;9;14;32592,2;A
2021;32565;2021;PRD;315983;35432;26;26;0;3;3;3;4;1454402,44;A
2023;85404;2024;PRD;366695;38941;55;0;0;3;3;5;1;63226080;A
